Imagen,Centro_X,Centro_Y,Radio,Fitness
../imgs/C05.bmp,126.5,130.17,31.73,116.0
../imgs/C05.bmp,126.87,130.84,31.88,116.0
../imgs/C05.bmp,126.04,130.18,31.04,116.0
../imgs/C05.bmp,126.28,130.15,31.77,116.0
../imgs/C05.bmp,126.24,130.76,31.87,116.0
../imgs/C05.bmp,126.64,130.93,31.64,116.0
../imgs/C05.bmp,126.86,129.0,31.01,115.0
../imgs/C05.bmp,126.06,130.15,31.22,116.0
../imgs/C05.bmp,126.5,130.28,31.88,116.0
../imgs/C05.bmp,126.47,130.68,31.68,116.0
../imgs/C05.bmp,126.0,130.0,31.02,116.0
../imgs/C05.bmp,126.92,130.26,31.65,116.0
../imgs/auto.bmp,523.03,165.32,62.77,167.0
../imgs/auto.bmp,523.01,165.0,63.06,189.0
../imgs/auto.bmp,523.26,165.58,63.06,189.0
../imgs/auto.bmp,523.83,165.32,62.08,167.0
../imgs/auto.bmp,523.61,165.44,63.39,189.0
../imgs/auto.bmp,523.07,165.37,62.95,167.0
../imgs/auto.bmp,523.21,165.54,63.54,189.0
../imgs/auto.bmp,523.79,166.14,63.17,180.0
../imgs/auto.bmp,522.31,165.39,69.42,150.0
../imgs/auto.bmp,522.51,165.1,63.67,161.0
../imgs/auto.bmp,523.17,165.39,69.39,171.0
../imgs/auto.bmp,523.1,165.06,63.08,189.0
../imgs/auto.bmp,523.2,165.55,63.23,189.0
../imgs/auto.bmp,523.33,165.47,63.19,189.0
../imgs/auto.bmp,523.23,165.99,63.16,189.0
../imgs/auto.bmp,523.17,165.29,63.38,189.0
../imgs/auto.bmp,523.08,165.73,62.12,167.0
../imgs/auto.bmp,523.35,165.07,63.18,189.0
../imgs/auto.bmp,523.39,165.08,63.5,189.0
../imgs/auto.bmp,523.23,165.83,63.42,189.0
../imgs/auto.bmp,523.42,165.32,62.4,167.0
../imgs/auto.bmp,523.16,165.88,63.51,189.0
../imgs/auto.bmp,523.1,165.06,63.25,189.0
../imgs/auto.bmp,523.06,165.03,63.23,189.0
../imgs/auto.bmp,523.68,166.83,63.0,180.0
../imgs/auto.bmp,523.01,165.09,69.27,171.0
../imgs/auto.bmp,522.31,165.33,63.33,161.0
../imgs/auto.bmp,523.52,165.59,63.39,189.0
../imgs/auto.bmp,523.76,165.19,63.23,189.0
../imgs/auto.bmp,523.72,164.52,62.27,144.0
../imgs/auto.bmp,523.27,165.53,63.16,189.0
../imgs/auto.bmp,523.07,165.0,63.08,189.0
../imgs/auto.bmp,523.48,165.52,63.3,189.0
../imgs/auto.bmp,523.5,164.3,69.93,159.0
../imgs/auto.bmp,522.66,165.26,70.76,138.0
../imgs/auto.bmp,523.37,165.05,69.23,171.0
../imgs/auto.bmp,523.8,165.42,62.37,167.0
../imgs/auto.bmp,523.03,165.06,63.01,189.0
